code,number,fname,lname,driver_id,team_team_id,dob
RAI,7,Kimi,Raikkonen,1,7,NULL
GIO,99,Antonio,Giovinazzi,2,7,NULL
GAS,10,Pierre,Gasly,3,8,NULL
TSU,22,Yuki,Tsunoda,4,8,NULL
ALO,14,Fernando,Alonso,5,6,NULL
OCO,31,Esteban,Ocon,6,6,NULL
VET,5,Sebastian,Vettel,7,5,NULL
STR,18,Lance,Stroll,8,5,NULL
LEC,16,Charles,Leclerc,9,3,NULL
SAI,55,Carlos,Sainz,10,3,NULL
MAZ,9,Nikita,Mazepin,11,9,NULL
MSC,47,Mick,Schumacher,12,9,NULL
RIC,3,Daniel,Ricciardo,13,4,NULL
NOR,4,Lando,Norris,14,4,NULL
HAM,44,Lewis,Hamilton,15,1,NULL
BOT,77,Valtteri,Bottas,16,1,NULL
PER,11,Sergio,Perez,17,2,NULL
VER,33,Max,Verstappen,18,2,NULL
LAT,6,Nicholas,Latifi,19,10,NULL
RUS,63,George,Russell,20,10,NULL
KUB,88,Robert,Kubica,21,7,NULL
